,K,charge_max,charge_position,charge_ratio,dg,k1,k2,kap,lam,theta0
99,20.0,3.0,tail,0.6000000000000001,-24.058260646811,5.0,1.0,8.0,18.0,180.0
0,50.0,3.0,core,0.2,-173.53773084893996,5.0,5.0,6.0,7.0,180.0
1,10.0,0.0,tail,0.8,-587.9482441210299,5.0,0.0,7.0,5.0,180.0
2,5.0,1.0,core,0.5,-324.31160124576,1.0,100.0,3.0,23.0,90.0
3,10.0,1.0,core,0.2,-340.74523841204,1.0,1.0,5.0,9.0,120.0
4,20.0,1.0,tail,0.2,-340.74523841204,100.0,100.0,2.0,22.0,135.0
5,10.0,3.0,tail,0.9,-734.1277843517099,1.0,10.0,6.0,19.0,180.0
6,5.0,2.0,tail,0.2,-734.1277843517099,5.0,10.0,3.0,15.0,135.0
7,10.0,1.0,core,0.5,-340.04786581872,5.0,10.0,4.0,19.0,120.0
8,50.0,3.0,tail,0.6000000000000001,-1174.0173002187,0.0,1.0,5.0,5.0,135.0
9,5.0,1.0,tail,0.5,-77.683269015793,5.0,100.0,5.0,16.0,180.0
10,50.0,2.0,tail,0.9,-351.91324877448,10.0,100.0,7.0,25.0,90.0
11,50.0,1.0,core,0.6000000000000001,-2452.249176656,5.0,0.0,5.0,13.0,90.0
12,20.0,2.0,tail,0.5,-2152.1027870135,1.0,0.0,3.0,16.0,135.0
13,50.0,0.0,core,0.2,-59.660229297948,10.0,100.0,2.0,21.0,180.0
14,5.0,2.0,core,0.6000000000000001,-108.52401655971,0.0,1.0,3.0,20.0,90.0
15,10.0,1.0,core,0.30000000000000004,-1809.8936012493,0.0,5.0,4.0,10.0,135.0
16,20.0,0.0,core,0.2,-42.827340322283,100.0,10.0,2.0,7.0,180.0
17,20.0,3.0,tail,0.7000000000000001,-668.2315269079099,1.0,5.0,8.0,20.0,90.0
18,10.0,1.0,tail,0.6000000000000001,-1884.605024209,10.0,1.0,2.0,9.0,135.0
19,50.0,1.0,core,0.30000000000000004,-740.61460106311,10.0,100.0,4.0,23.0,120.0
20,50.0,3.0,tail,1.0,-77.839909471099,0.0,5.0,8.0,23.0,90.0
21,10.0,0.0,tail,0.2,-869.7842170868801,5.0,10.0,3.0,15.0,120.0
22,10.0,1.0,tail,0.9,-258.98057607457,0.0,100.0,3.0,11.0,120.0
23,5.0,3.0,tail,0.7000000000000001,-75.913515698385,100.0,100.0,4.0,21.0,120.0
24,5.0,0.0,tail,0.7000000000000001,-59.582034808823,0.0,0.0,8.0,15.0,180.0
25,10.0,3.0,tail,0.30000000000000004,-306.742826671,100.0,1.0,6.0,17.0,180.0
26,5.0,3.0,core,0.0,-2073.4723306944,100.0,0.0,7.0,7.0,135.0
27,10.0,3.0,tail,0.6000000000000001,-70.9130092762,0.0,1.0,3.0,17.0,180.0
28,10.0,0.0,core,0.8,-143.50657406602,0.0,100.0,6.0,24.0,120.0
29,5.0,0.0,tail,1.0,-546.3714477152099,0.0,5.0,3.0,23.0,90.0
30,10.0,1.0,core,1.0,-115.04540362503,1.0,100.0,3.0,7.0,180.0
31,5.0,1.0,core,1.0,-83.880015797751,5.0,1.0,5.0,18.0,90.0
32,50.0,2.0,tail,0.1,-83.880015797751,10.0,1.0,8.0,24.0,180.0
33,20.0,3.0,core,0.30000000000000004,-370.54625116962006,0.0,1.0,3.0,18.0,120.0
34,50.0,3.0,tail,0.4,-775.9529024723199,1.0,1.0,4.0,18.0,135.0
35,20.0,0.0,core,0.6000000000000001,-722.0432891060699,1.0,5.0,2.0,11.0,120.0
36,5.0,3.0,core,0.6000000000000001,-722.0432891060699,10.0,1.0,5.0,16.0,90.0
37,5.0,3.0,core,1.0,-512.14903460748,10.0,0.0,8.0,15.0,180.0
38,50.0,0.0,core,0.30000000000000004,-102.28974519001999,0.0,100.0,8.0,7.0,135.0
39,50.0,1.0,core,0.9,-102.28974519001999,10.0,10.0,3.0,23.0,180.0
40,10.0,2.0,tail,0.0,-205.85360736638,100.0,100.0,5.0,20.0,135.0
41,10.0,2.0,core,0.2,-251.53178614245,10.0,0.0,4.0,14.0,120.0
42,5.0,2.0,core,0.2,-103.64213697227,1.0,100.0,4.0,12.0,90.0
43,20.0,0.0,core,0.7000000000000001,-958.2567020916999,10.0,5.0,7.0,5.0,135.0
44,10.0,2.0,core,0.6000000000000001,-82.932340836886,100.0,100.0,3.0,15.0,90.0
45,50.0,2.0,tail,0.1,-789.7228690255499,100.0,10.0,4.0,6.0,135.0
46,20.0,2.0,core,0.6000000000000001,-1166.6101601994,100.0,100.0,8.0,12.0,135.0
47,20.0,1.0,tail,0.8,-983.12211348931,10.0,0.0,7.0,10.0,90.0
48,5.0,3.0,tail,1.0,-1268.4591363898,10.0,100.0,3.0,8.0,135.0
49,50.0,3.0,core,0.7000000000000001,-313.3990039614,5.0,10.0,8.0,7.0,180.0
50,5.0,0.0,tail,0.30000000000000004,-755.29545636381,100.0,0.0,8.0,21.0,120.0
51,10.0,1.0,core,0.2,-704.24885640578,0.0,10.0,3.0,13.0,90.0
52,50.0,2.0,core,0.2,-443.52819184977994,5.0,1.0,3.0,18.0,135.0
53,50.0,3.0,tail,1.0,-73.756045830306,5.0,5.0,7.0,19.0,180.0
54,5.0,3.0,tail,0.8,-62.624447036202,10.0,0.0,5.0,13.0,120.0
55,20.0,2.0,core,0.6000000000000001,-111.29101941619,5.0,1.0,4.0,25.0,90.0
56,10.0,2.0,core,0.4,-874.36200134463,10.0,10.0,5.0,14.0,120.0
57,10.0,3.0,core,0.6000000000000001,-1094.1617161323,100.0,100.0,5.0,9.0,90.0
58,20.0,2.0,core,1.0,-67.554285703056,0.0,1.0,6.0,22.0,120.0
59,10.0,3.0,tail,0.4,-1217.3204899814,5.0,100.0,7.0,5.0,120.0
60,20.0,2.0,tail,0.7000000000000001,-51.337900931642,5.0,10.0,6.0,15.0,135.0
61,50.0,2.0,tail,0.8,-502.01601007562004,1.0,10.0,3.0,21.0,180.0
62,50.0,2.0,core,0.5,-99.036069816212,0.0,5.0,5.0,16.0,90.0
63,5.0,2.0,tail,0.5,-56.01417540770701,10.0,100.0,4.0,12.0,135.0
64,50.0,1.0,tail,0.2,-211.2293974666,100.0,0.0,5.0,9.0,90.0
65,20.0,0.0,tail,0.7000000000000001,-75.15976978229,1.0,100.0,6.0,20.0,90.0
66,50.0,3.0,core,0.30000000000000004,-725.45065500574,100.0,1.0,6.0,8.0,180.0
67,10.0,2.0,core,0.4,-79.403387926966,10.0,10.0,3.0,23.0,135.0
68,50.0,0.0,core,0.8,-1241.1611547060002,1.0,10.0,5.0,25.0,120.0
69,50.0,0.0,core,0.2,-307.75094339852,10.0,10.0,4.0,20.0,120.0
70,5.0,0.0,tail,0.0,-698.55123338638,100.0,5.0,3.0,15.0,90.0
71,20.0,0.0,core,0.30000000000000004,-375.66230640676,0.0,100.0,6.0,22.0,180.0
72,5.0,0.0,tail,0.2,-75.774920192102,5.0,100.0,6.0,15.0,120.0
73,50.0,1.0,core,1.0,-633.35718835849,10.0,0.0,8.0,11.0,135.0
74,10.0,0.0,core,0.9,-40.592547163389,0.0,10.0,8.0,17.0,180.0
75,10.0,0.0,core,0.1,-627.01305427959,100.0,5.0,8.0,18.0,90.0
76,10.0,2.0,tail,0.1,-627.01305427959,0.0,0.0,6.0,22.0,90.0
77,10.0,0.0,tail,0.6000000000000001,-1895.9434565487,10.0,100.0,3.0,22.0,135.0
78,20.0,1.0,core,0.6000000000000001,-1353.7704291539,0.0,5.0,4.0,17.0,120.0
79,20.0,1.0,tail,0.7000000000000001,-86.01649282426399,10.0,10.0,7.0,23.0,120.0
80,50.0,1.0,core,0.9,-45.904062981337994,0.0,0.0,7.0,8.0,180.0
81,20.0,3.0,core,0.4,-45.904062981337994,1.0,0.0,6.0,25.0,90.0
82,50.0,1.0,core,0.0,-43.588896173627006,1.0,0.0,7.0,16.0,90.0
83,50.0,1.0,core,0.30000000000000004,-767.7672329691001,1.0,5.0,5.0,21.0,180.0
84,20.0,2.0,tail,0.1,-65.982795204301,5.0,10.0,8.0,21.0,180.0
85,50.0,2.0,core,0.9,-3055.0998437540998,0.0,1.0,4.0,19.0,135.0
86,5.0,1.0,core,0.8,-48.480111298131,1.0,10.0,4.0,12.0,135.0
87,20.0,0.0,tail,0.1,-529.21105372887,1.0,100.0,4.0,20.0,135.0
88,50.0,3.0,core,1.0,-572.0520279007,100.0,100.0,8.0,15.0,180.0
89,50.0,3.0,tail,0.8,-1005.2516199674001,10.0,10.0,4.0,15.0,135.0
90,50.0,2.0,tail,0.5,-89.913523937545,0.0,0.0,6.0,13.0,120.0
91,20.0,0.0,core,0.0,-101.42048347299999,5.0,0.0,3.0,8.0,120.0
92,5.0,3.0,core,0.0,-68.68161396081899,10.0,100.0,3.0,18.0,135.0
93,20.0,3.0,core,0.30000000000000004,-72.858453054165,5.0,100.0,8.0,12.0,180.0
94,50.0,1.0,core,0.8,-46.606945158576,100.0,10.0,8.0,19.0,135.0
95,20.0,2.0,core,0.5,-29.293569271676997,100.0,5.0,7.0,20.0,180.0
96,5.0,1.0,tail,0.30000000000000004,-108.95065594046999,0.0,10.0,2.0,22.0,120.0
97,20.0,3.0,tail,0.6000000000000001,-696.40704585607,5.0,5.0,5.0,20.0,180.0
98,10.0,3.0,core,0.30000000000000004,-1546.7040296270002,5.0,5.0,5.0,13.0,135.0
99,20.0,3.0,tail,0.6000000000000001,-26.281699953487,5.0,1.0,8.0,18.0,180.0
0,50.0,3.0,core,0.2,-1452.3674029831,5.0,5.0,6.0,7.0,180.0
1,10.0,0.0,tail,0.8,-568.38810177325,5.0,0.0,7.0,5.0,180.0
2,5.0,1.0,core,0.5,-53.437832714876,1.0,100.0,3.0,23.0,90.0
3,10.0,1.0,core,0.2,-105.40994088086,1.0,1.0,5.0,9.0,120.0
4,20.0,1.0,tail,0.2,-102.06748648323999,100.0,100.0,2.0,22.0,135.0
5,10.0,3.0,tail,0.9,-1603.4861175719,1.0,10.0,6.0,19.0,180.0
6,5.0,2.0,tail,0.2,-1940.8819142504,5.0,10.0,3.0,15.0,135.0
7,10.0,1.0,core,0.5,-1461.7672813332001,5.0,10.0,4.0,19.0,120.0
8,50.0,3.0,tail,0.6000000000000001,-42.344794932887,0.0,1.0,5.0,5.0,135.0
9,5.0,1.0,tail,0.5,-697.03060670633,5.0,100.0,5.0,16.0,180.0
10,50.0,2.0,tail,0.9,-188.61339997086998,10.0,100.0,7.0,25.0,90.0
11,50.0,1.0,core,0.6000000000000001,-531.72264503176,5.0,0.0,5.0,13.0,90.0
12,20.0,2.0,tail,0.5,-1444.3092384037,1.0,0.0,3.0,16.0,135.0
13,50.0,0.0,core,0.2,-1046.6483532118,10.0,100.0,2.0,21.0,180.0
14,5.0,2.0,core,0.6000000000000001,-39.885045528427,0.0,1.0,3.0,20.0,90.0
15,10.0,1.0,core,0.30000000000000004,-1244.6518755674,0.0,5.0,4.0,10.0,135.0
16,20.0,0.0,core,0.2,-479.17137821102995,100.0,10.0,2.0,7.0,180.0
17,20.0,3.0,tail,0.7000000000000001,-56.312419782888,1.0,5.0,8.0,20.0,90.0
18,10.0,1.0,tail,0.6000000000000001,-108.45728498260999,10.0,1.0,2.0,9.0,135.0
19,50.0,1.0,core,0.30000000000000004,-126.47491416748998,10.0,100.0,4.0,23.0,120.0
20,50.0,3.0,tail,1.0,-1809.3468502663,0.0,5.0,8.0,23.0,90.0
21,10.0,0.0,tail,0.2,-90.548819101905,5.0,10.0,3.0,15.0,120.0
22,10.0,1.0,tail,0.9,-1025.8045896480999,0.0,100.0,3.0,11.0,120.0
23,5.0,3.0,tail,0.7000000000000001,-80.365116105559,100.0,100.0,4.0,21.0,120.0
24,5.0,0.0,tail,0.7000000000000001,-1988.3946535113,0.0,0.0,8.0,15.0,180.0
25,10.0,3.0,tail,0.30000000000000004,-651.3012921417401,100.0,1.0,6.0,17.0,180.0
26,5.0,3.0,core,0.0,-76.582778641419,100.0,0.0,7.0,7.0,135.0
27,10.0,3.0,tail,0.6000000000000001,-1389.9840595129,0.0,1.0,3.0,17.0,180.0
28,10.0,0.0,core,0.8,-47.314743476920995,0.0,100.0,6.0,24.0,120.0
29,5.0,0.0,tail,1.0,-75.251377208431,0.0,5.0,3.0,23.0,90.0
30,10.0,1.0,core,1.0,-307.25675438973,1.0,100.0,3.0,7.0,180.0
31,5.0,1.0,core,1.0,-417.86852078141,5.0,1.0,5.0,18.0,90.0
32,50.0,2.0,tail,0.1,-823.4768377299499,10.0,1.0,8.0,24.0,180.0
33,20.0,3.0,core,0.30000000000000004,-1828.4217258666001,0.0,1.0,3.0,18.0,120.0
34,50.0,3.0,tail,0.4,-1883.1753521897,1.0,1.0,4.0,18.0,135.0
35,20.0,0.0,core,0.6000000000000001,-585.02848964137,1.0,5.0,2.0,11.0,120.0
36,5.0,3.0,core,0.6000000000000001,-1669.2605479958,10.0,1.0,5.0,16.0,90.0
37,5.0,3.0,core,1.0,-75.725249941798,10.0,0.0,8.0,15.0,180.0
38,50.0,0.0,core,0.30000000000000004,-75.725249941798,0.0,100.0,8.0,7.0,135.0
39,50.0,1.0,core,0.9,-558.6488444520401,10.0,10.0,3.0,23.0,180.0
40,10.0,2.0,tail,0.0,-482.92084422359,100.0,100.0,5.0,20.0,135.0
41,10.0,2.0,core,0.2,-98.06652690134399,10.0,0.0,4.0,14.0,120.0
42,5.0,2.0,core,0.2,-585.1325608168701,1.0,100.0,4.0,12.0,90.0
43,20.0,0.0,core,0.7000000000000001,-1260.7488084882,10.0,5.0,7.0,5.0,135.0
44,10.0,2.0,core,0.6000000000000001,-124.03618172383001,100.0,100.0,3.0,15.0,90.0
45,50.0,2.0,tail,0.1,-1296.2346692357,100.0,10.0,4.0,6.0,135.0
46,20.0,2.0,core,0.6000000000000001,-672.52107824413,100.0,100.0,8.0,12.0,135.0
47,20.0,1.0,tail,0.8,-339.67179999641,10.0,0.0,7.0,10.0,90.0
48,5.0,3.0,tail,1.0,-811.7652811011299,10.0,100.0,3.0,8.0,135.0
49,50.0,3.0,core,0.7000000000000001,-499.0321245341901,5.0,10.0,8.0,7.0,180.0
50,5.0,0.0,tail,0.30000000000000004,-785.9020586217999,100.0,0.0,8.0,21.0,120.0
51,10.0,1.0,core,0.2,-60.192123538342,0.0,10.0,3.0,13.0,90.0
52,50.0,2.0,core,0.2,-2276.5186610516002,5.0,1.0,3.0,18.0,135.0
53,50.0,3.0,tail,1.0,-1093.5736377218,5.0,5.0,7.0,19.0,180.0
54,5.0,3.0,tail,0.8,-116.15215743625,10.0,0.0,5.0,13.0,120.0
55,20.0,2.0,core,0.6000000000000001,-53.848164824224995,5.0,1.0,4.0,25.0,90.0
56,10.0,2.0,core,0.4,-92.221622659394,10.0,10.0,5.0,14.0,120.0
57,10.0,3.0,core,0.6000000000000001,-1742.4101827875,100.0,100.0,5.0,9.0,90.0
58,20.0,2.0,core,1.0,-1742.4101827875,0.0,1.0,6.0,22.0,120.0
59,10.0,3.0,tail,0.4,-593.59442948571,5.0,100.0,7.0,5.0,120.0
60,20.0,2.0,tail,0.7000000000000001,-142.48760873163,5.0,10.0,6.0,15.0,135.0
61,50.0,2.0,tail,0.8,-721.8985635996,1.0,10.0,3.0,21.0,180.0
62,50.0,2.0,core,0.5,-1270.8210463279,0.0,5.0,5.0,16.0,90.0
63,5.0,2.0,tail,0.5,-242.88046448022004,10.0,100.0,4.0,12.0,135.0
64,50.0,1.0,tail,0.2,-203.64311803599998,100.0,0.0,5.0,9.0,90.0
65,20.0,0.0,tail,0.7000000000000001,-1906.3103101276001,1.0,100.0,6.0,20.0,90.0
66,50.0,3.0,core,0.30000000000000004,-40.317824224753,100.0,1.0,6.0,8.0,180.0
67,10.0,2.0,core,0.4,-60.197855339679,10.0,10.0,3.0,23.0,135.0
68,50.0,0.0,core,0.8,-595.2151553950599,1.0,10.0,5.0,25.0,120.0
69,50.0,0.0,core,0.2,-26.784297331374997,10.0,10.0,4.0,20.0,120.0
70,5.0,0.0,tail,0.0,-662.042613662,100.0,5.0,3.0,15.0,90.0
71,20.0,0.0,core,0.30000000000000004,-24.356725570463,0.0,100.0,6.0,22.0,180.0
72,5.0,0.0,tail,0.2,-348.4866456394,5.0,100.0,6.0,15.0,120.0
73,50.0,1.0,core,1.0,-75.943667705504,10.0,0.0,8.0,11.0,135.0
74,10.0,0.0,core,0.9,-2109.9793582308,0.0,10.0,8.0,17.0,180.0
75,10.0,0.0,core,0.1,-194.10491704141003,100.0,5.0,8.0,18.0,90.0
76,10.0,2.0,tail,0.1,-1130.4210565936999,0.0,0.0,6.0,22.0,90.0
77,10.0,0.0,tail,0.6000000000000001,-172.70434341380002,10.0,100.0,3.0,22.0,135.0
78,20.0,1.0,core,0.6000000000000001,-1309.7002837061,0.0,5.0,4.0,17.0,120.0
79,20.0,1.0,tail,0.7000000000000001,-109.46795782035,10.0,10.0,7.0,23.0,120.0
80,50.0,1.0,core,0.9,-491.36753423429,0.0,0.0,7.0,8.0,180.0
81,20.0,3.0,core,0.4,-93.992561751695,1.0,0.0,6.0,25.0,90.0
82,50.0,1.0,core,0.0,-546.38449725001,1.0,0.0,7.0,16.0,90.0
83,50.0,1.0,core,0.30000000000000004,-140.3181814603,1.0,5.0,5.0,21.0,180.0
84,20.0,2.0,tail,0.1,-411.04467645626,5.0,10.0,8.0,21.0,180.0
85,50.0,2.0,core,0.9,-528.1081223285299,0.0,1.0,4.0,19.0,135.0
86,5.0,1.0,core,0.8,-29.709285822572998,1.0,10.0,4.0,12.0,135.0
87,20.0,0.0,tail,0.1,-531.73517199328,1.0,100.0,4.0,20.0,135.0
88,50.0,3.0,core,1.0,-1814.5826798051999,100.0,100.0,8.0,15.0,180.0
89,50.0,3.0,tail,0.8,-1066.3418299317,10.0,10.0,4.0,15.0,135.0
90,50.0,2.0,tail,0.5,-1144.382072113,0.0,0.0,6.0,13.0,120.0
91,20.0,0.0,core,0.0,-1729.5663495958,5.0,0.0,3.0,8.0,120.0
92,5.0,3.0,core,0.0,-90.572071458493,10.0,100.0,3.0,18.0,135.0
93,20.0,3.0,core,0.30000000000000004,-214.34159250788997,5.0,100.0,8.0,12.0,180.0
94,50.0,1.0,core,0.8,-714.5016346506301,100.0,10.0,8.0,19.0,135.0
95,20.0,2.0,core,0.5,-714.5016346506301,100.0,5.0,7.0,20.0,180.0
96,5.0,1.0,tail,0.30000000000000004,-714.5016346506301,0.0,10.0,2.0,22.0,120.0
97,20.0,3.0,tail,0.6000000000000001,-714.5016346506301,5.0,5.0,5.0,20.0,180.0
98,10.0,3.0,core,0.30000000000000004,-714.5016346506301,5.0,5.0,5.0,13.0,135.0
99,20.0,3.0,tail,0.6000000000000001,-714.5016346506301,5.0,1.0,8.0,18.0,180.0
